127.0.0.1 - - [05/Jun/2019:08:43:04 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:19 +0800] "GET /o2o/frontend/index HTTP/1.1" 200 4589
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:19 +0800] "GET /o2o/resources/css/frontend/index/index.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:19 +0800] "GET /o2o/resources/js/frontend/index.js HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:19 +0800] "GET /o2o/resources/js/local/logout.js HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:21 +0800] "GET /o2o/frontend/listmainpageinfo HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:25 +0800] "GET /upload/item/headtitle/2017061320400198256.jpg HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:25 +0800] "GET /upload/item/headtitle/2017061320393452772.jpg HTTP/1.1" 200 23369
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:25 +0800] "GET /upload/item/headtitle/2017061320371786788.jpg HTTP/1.1" 200 29963
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:25 +0800] "GET /upload/item/headtitle/2017061320315746624.jpg HTTP/1.1" 200 11602
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:25 +0800] "GET /upload/item/shopcategory/2017061223272255687.png HTTP/1.1" 200 57248
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:25 +0800] "GET /upload/item/shopcategory/2017061223274213433.png HTTP/1.1" 200 37140
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:25 +0800] "GET /upload/item/shopcategory/2017061223275121460.png HTTP/1.1" 200 52599
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:25 +0800] "GET /upload/item/shopcategory/2017061223280082147.png HTTP/1.1" 200 41320
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:25 +0800] "GET /upload/item/shopcategory/2017061223281361578.png HTTP/1.1" 200 42747
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:25 +0800] "GET /upload/item/shopcategory/2017061223273314635.png HTTP/1.1" 200 40232
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:48 +0800] "GET /o2o/frontend/shoplist?parentId=9 HTTP/1.1" 200 5067
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:48 +0800] "GET /o2o/resources/css/frontend/shoplist/shoplist.css HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:48 +0800] "GET /o2o/resources/js/common/common.js HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:48 +0800] "GET /o2o/resources/js/frontend/shoplist.js HTTP/1.1" 200 6888
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:49 +0800] "GET /o2o/frontend/listshopspageinfo?parentId=9 HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:50 +0800] "GET /o2o/frontend/listshops?pageIndex=1&pageSize=10&parentId=9&areaId=&shopCategoryId=&shopName= HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:50 +0800] "GET /upload/item/shop/9/2017060420464594520.png HTTP/1.1" 200 93433
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:52 +0800] "GET /o2o/frontend/shopdetail?shopId=3 HTTP/1.1" 200 5502
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:52 +0800] "GET /o2o/resources/css/frontend/shopdetail/shopdetail.css HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:52 +0800] "GET /o2o/resources/js/frontend/shopdetail.js HTTP/1.1" 200 5433
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:52 +0800] "GET /o2o/resources/js/common/common.js HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:52 +0800] "GET /o2o/frontend/listshopdetailpageinfo?shopId=3 HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:52 +0800] "GET /o2o/frontend/listproductsbyshop?pageIndex=1&pageSize=10&productCategoryId=&productName=&shopId=3 HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:52 +0800] "GET /upload/item/shop/9/2017060420464594520.png HTTP/1.1" 200 93433
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:52 +0800] "GET /upload/item/shop/3/2019060115265239592.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:52 +0800] "GET /upload/item/shop/3/2019052918182917128.jpg HTTP/1.1" 200 8742
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:52 +0800] "GET /upload/item/shop/13/2017060523302118864.jpg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:54 +0800] "GET /o2o/frontend/listproductsbyshop?pageIndex=2&pageSize=10&productCategoryId=&productName=&shopId=3 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:56 +0800] "GET /o2o/frontend/productdetail?productId=70 HTTP/1.1" 200 3462
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:56 +0800] "GET /o2o/resources/css/frontend/productdetail/productdetail.css HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:56 +0800] "GET /o2o/resources/js/common/common.js HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:56 +0800] "GET /o2o/resources/js/frontend/productdetail.js HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:57 +0800] "GET /o2o/frontend/listproductdetailpageinfo?productId=70 HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:57 +0800] "GET /o2o/frontend/generateqrcode4product?productId=70 HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:57 +0800] "GET /upload/item/shop/3/2019060115265239592.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:58 +0800] "GET /o2o/frontend/shopdetail?shopId=3 HTTP/1.1" 200 5502
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:43:58 +0800] "GET /o2o/resources/css/frontend/shopdetail/shopdetail.css HTTP/1.1" 200 384
