2019-07-10 09:11:02:258[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 09:15:05:026[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 09:25:00:222[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 09:25:18:416[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 09:28:38:270[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 09:33:51:786[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 11:12:02:063[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 16:48:03:399[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 16:51:50:589[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 18:00:38:032[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 18:23:21:224[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 18:25:45:124[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 18:28:47:148[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 18:30:53:889[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 18:44:07:908[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 18:49:16:071[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 18:52:34:339[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 18:54:11:792[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-07-10 18:55:04:885[main] DEBUG com.hly.o2o.O2oApplication-Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
